Year,Leading Cause,Sex,Race Ethnicity,Deaths
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1603
2019,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1164
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,423
2019,Diabetes Mellitus (E10-E14),Male,Hispanic,245
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,Hispanic,182
2019,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,182
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,174
2019,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Hispanic,171
2019,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,170
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Hispanic,135
2019,All Other Causes,Male,Hispanic,1395
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,731
2019,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,671
2019,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,105
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,92
2019,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,80
2019,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,76
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Asian and Pacific Islander,56
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,52
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Asian and Pacific Islander,48
2019,Alzheimer's Disease (G30),Male,Asian and Pacific Islander,41
2019,All Other Causes,Male,Asian and Pacific Islander,549
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,White Non-Hispanic,4034
2019,Malignant Neoplasms (Cancer: C00-C97),Male,White Non-Hispanic,2785
